image,expected,predicted,correct
cbb1b7fc-b495e982.jpg,GO,GO,1
cbc7cfb1-27c67277.jpg,GO,GO,1
cbb0e311-a9afde90.jpg,GO,STOP,0
cbb8ecf4-caf30270.jpg,GO,GO,1
cbb3f956-b6ce18c4.jpg,GO,GO,1
cbbc1915-6292d4cb.jpg,GO,GO.,0
cbc90e87-b7f3f83a.jpg,GO,STOP,0
cbb8ecf4-ec82c201.jpg,GO,GO,1
cbb0df9f-f3f3a196.jpg,GO,STOP,0
cbb9a48e-4795fc52.jpg,GO,GO,1
cbb5610a-80e61a98.jpg,GO,"SCENE IS DARK AND HARD TO SEE, CAN'T EVALUATE WITHOUT MORE INFORMATION.",0
cbb0e311-1082d7ff.jpg,GO,GO,1
cbc633dd-cffccd29.jpg,GO,STOP,0
cbc33872-14bdf47a.jpg,SLOW,GO,0
cbc58d3f-244e1fa0.jpg,SLOW,GO,0
cbbfa4d0-fe444e30.jpg,SLOW,GO,0
cbc58d3f-9ed3a1eb.jpg,SLOW,GO,0
cbc67194-07434e2d.jpg,SLOW,SLOW,1
cbb2743e-776cc8bb.jpg,SLOW,STOP,0
cbc00a1f-35b56529.jpg,SLOW,GO,0
cbb25aa5-0b3024d3.jpg,SLOW,STOP,0
cbca4ff7-a63a4afe.jpg,SLOW,STOP.,0
cbb9a48e-f2e4cab3.jpg,SLOW,STOP,0
cbbd082e-a077f7ab.jpg,STOP,STOP,1
cbc51f7e-e1e43e79.jpg,STOP,GO,0
cbbfa4d0-9c3f6e67.jpg,STOP,GO,0
cbb8ecf4-e17d3540.jpg,STOP,GO,0
cbc58d3f-7dde1998.jpg,STOP,GO,0
cbc58d3f-47326099.jpg,STOP,SLOW,0
cbbff8e6-3dc736a7.jpg,STOP,STOP,1
